NDB_No,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
335,"RADISHES,ORIENTAL,CKD,BLD,DRND,WO/SALT",95.04,17,0.67,0.24,0.62,3.43,1.6,1.83,17,0.15,9,24,285,13,0.13,0.101,0.033,0.7,15.1,0,0.023,0.15,0.114,0.038,17,0,17,17,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.073,0.04,0.108,0
336,"RADISHES,ORIENTAL,DRIED",19.68,271,7.9,0.72,8.33,63.37,23.9,37.32,629,6.73,170,204,3494,278,2.13,1.631,0.539,0.7,0,0.27,0.68,3.4,1.854,0.618,295,0,295,295,109.7,0,0,0,0,0,0,0,0,0,0.01,0,0,4.5,0.218,0.119,0.325,0
337,"RUTABAGAS,RAW",89.43,37,1.08,0.16,0.71,8.62,2.3,4.46,43,0.44,20,53,305,12,0.24,0.032,0.131,0.7,25,0.09,0.04,0.7,0.16,0.1,21,0,21,21,14.1,0,2,0,0,0,1,1,14,19,0.3,0,0,0.3,0.027,0.025,0.088,0
338,"RUTABAGAS,CKD,BLD,DRND,WO/SALT",91.54,30,0.93,0.18,0.51,6.84,1.8,3.95,18,0.18,10,41,216,5,0.12,0.029,0.097,0.7,18.8,0.082,0.041,0.715,0.155,0.102,15,0,15,15,15.2,0,2,0,0,0,1,0,10,13,0.24,0,0,0.2,0.029,0.027,0.095,0
339,"SALSIFY,(VEG OYSTER),RAW",77,82,3.3,0.2,0.9,18.6,3.3,,60,0.7,23,75,380,20,0.38,0.089,0.268,0.8,8,0.08,0.22,0.5,0.371,0.277,26,0,26,26,,0,0,0,0,,,,,,,0,0,,,,,0
340,"SALSIFY,CKD,BLD,DRND,WO/SALT",81,68,2.73,0.17,0.74,15.36,3.1,2.9,47,0.55,18,56,283,16,0.3,0.07,0.21,0.6,4.6,0.056,0.173,0.392,0.276,0.218,15,0,15,15,25.9,0,0,0,0,0,0,0,0,0,0.19,0,0,0.3,0.041,0.003,0.074,0
341,"SAUERKRAUT,CND,SOL&LIQUIDS",92.52,19,0.91,0.14,2.15,4.28,2.9,1.78,30,1.47,13,20,170,661,0.19,0.096,0.151,0.6,14.7,0.021,0.022,0.143,0.093,0.13,24,0,24,24,10.4,0,18,1,0,5,8,0,0,295,0.14,0,0,13,0.034,0.013,0.067,0
342,"SEAWEED,AGAR,RAW",91.32,26,0.54,0.03,1.36,6.75,0.5,0.28,54,1.86,67,5,226,9,0.58,0.061,0.373,0.7,0,0.005,0.022,0.055,0.302,0.032,85,0,85,85,6,0,0,0,0,0,0,0,0,0,0.87,0,0,2.3,0.006,0.003,0.01,0
343,"SEAWEED,IRISHMOSS,RAW",81.34,49,1.51,0.16,4.7,12.29,1.3,0.61,72,8.9,144,157,63,67,1.95,0.149,0.37,0.7,3,0.015,0.466,0.593,0.176,0.069,182,0,182,182,12.9,0,118,6,0,0,71,0,0,0,0.87,0,0,5,0.033,0.015,0.055,0
344,"SEAWEED,KELP,RAW",81.58,43,1.68,0.56,6.61,9.57,1.3,0.6,168,2.85,121,42,89,233,1.23,0.13,0.2,0.7,3,0.05,0.15,0.47,0.642,0.002,180,0,180,180,12.8,0,116,6,0,0,70,0,0,0,0.87,0,0,66,0.247,0.098,0.047,0
345,"SEAWEED,LAVER,RAW",85.03,35,5.81,0.28,3.77,5.11,0.3,0.49,70,1.8,2,58,356,48,1.05,0.264,0.988,0.7,39,0.098,0.446,1.47,0.521,0.159,146,0,146,146,10.4,0,5202,260,0,0,3121,0,0,0,1,0,0,4,0.061,0.025,0.11,0
346,"SESBANIA FLOWER,RAW",91.58,27,1.28,0.04,0.38,6.73,,,19,0.84,12,30,184,15,,,,0.9,73,0.083,0.081,0.43,,,102,0,102,102,,0,0,0,0,,,,,,,0,0,,,,,0
347,"SESBANIA FLOWER,CKD,STMD,WO/SALT",93.3,22,1.14,0.05,0.28,5.23,,,22,0.56,12,21,107,11,,,,0.7,37,0.048,0.043,0.25,,,57,0,57,57,,0,0,0,0,,,,,,,0,0,,,,,0
348,"SOYBEANS,GREEN,RAW",67.5,147,12.95,6.8,1.7,11.05,4.2,,197,3.55,65,194,620,15,0.99,0.128,0.547,1.5,29,0.435,0.175,1.65,0.147,0.065,165,0,165,165,,0,180,9,0,,,,,,,0,0,,0.786,1.284,3.2,0
349,"SOYBEANS,GRN,CKD,BLD,DRND,WO/SALT",68.6,141,12.35,6.4,1.6,11.05,4.2,,145,2.5,60,158,539,14,0.91,0.117,0.502,1.4,17,0.26,0.155,1.25,0.128,0.06,111,0,111,111,,0,156,8,0,,,,,,,0,0,,0.74,1.209,3.011,0
350,"SOYBEANS,MATURE SEEDS,SPROUTED,RAW",69.05,122,13.09,6.7,1.59,9.57,1.1,,67,2.1,72,164,484,14,1.17,0.427,0.702,0.6,15.3,0.34,0.118,1.148,0.929,0.176,172,0,172,172,,0,11,1,0,,,,,,,0,0,,0.929,1.518,3.783,0
351,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STMD",79.45,81,8.47,4.45,1.1,6.53,0.8,0.52,59,1.31,60,135,355,10,1.04,0.33,0.71,0.6,8.3,0.205,0.053,1.092,0.743,0.105,80,0,80,80,41.2,0,40,2,0,12,12,12,0,0,0.21,0,0,70.6,0.617,1.009,2.513,0
352,"SOYBEANS,MATURE SEEDS,SPROUTED,CKD,STIR-FRIED",67.2,125,13.1,7.1,3.2,9.4,0.8,,82,0.4,96,216,567,14,2.1,0.527,1.133,0.6,12,0.42,0.19,1.1,1.186,0.168,127,0,127,127,,0,17,1,0,,,,,,,0,0,,0.985,1.609,4.009,0
353,"SPINACH,RAW",91.4,23,2.86,0.39,1.72,3.63,2.2,0.42,99,2.71,79,49,558,79,0.53,0.13,0.897,1,28.1,0.078,0.189,0.724,0.065,0.195,194,0,194,194,19.3,0,9377,469,0,0,5626,0,0,12198,2.03,0,0,482.9,0.063,0.01,0.165,0
354,"SPINACH,CKD,BLD,DRND,WO/ SALT",91.21,23,2.97,0.26,1.81,3.75,2.4,0.43,136,3.57,87,56,466,70,0.76,0.174,0.935,1.5,9.8,0.095,0.236,0.49,0.145,0.242,146,0,146,146,19.7,0,10481,524,0,0,6288,0,0,11308,2.08,0,0,493.6,0.043,0.006,0.109,0
